id_evento,fonte,objeto,id_objeto,nome_host,horario,ns,id_evento_resolvido,horario_resolvido,ns_resolvido,id_correlacao,id_usuario,descricao,reconhecido,severidade,id_evento_causa,dados_operacao,reconhecimentos,dados_supressao,supresso,tags
5531930,0,0,302568,BRUX0477,2024-06-17 15:08:44,929248328,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl339: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.1399 %),[],[],0,[]
5531929,0,0,302449,BRUX0477,2024-06-17 15:08:45,304714549,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl447: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.9958 %),[],[],0,[]
5531928,0,0,302389,BRUX0477,2024-06-17 15:08:45,304250724,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl501: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9594 %),[],[],0,[]
5531927,0,0,302388,BRUX0477,2024-06-17 15:08:44,927985728,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl502: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9813 %),[],[],0,[]
5531926,0,0,302329,BRUX0477,2024-06-17 15:08:45,303234247,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl556: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.5943 %),[],[],0,[]
5531925,0,0,302328,BRUX0477,2024-06-17 15:08:44,923081514,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl557: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.4778 %),[],[],0,[]
5531924,0,0,302269,BRUX0477,2024-06-17 15:08:45,302795154,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl610: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.6682 %),[],[],0,[]
5531923,0,0,302268,BRUX0477,2024-06-17 15:08:44,922651239,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl611: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.7085 %),[],[],0,[]
5531922,0,0,302208,BRUX0477,2024-06-17 15:08:44,922180401,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl666: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.6681 %),[],[],0,[]
5531921,0,0,302149,BRUX0477,2024-06-17 15:08:45,301925505,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl72: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9268 %),[],[],0,[]
5531914,0,0,301050,BRUX0329,2024-06-17 15:08:43,821821150,0,1969-12-31 21:00:00,0,0,0,/opt: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (100 %),[],[],0,[]
5531885,0,0,302807,BRUX0477,2024-06-17 15:08:43,383243716,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl121: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9802 %),[],[],0,[]
5531884,0,0,302806,BRUX0477,2024-06-17 15:08:42,981186914,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl122: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.5497 %),[],[],0,[]
5531883,0,0,302686,BRUX0477,2024-06-17 15:08:42,976784145,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl231: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.0441 %),[],[],0,[]
5531882,0,0,302627,BRUX0477,2024-06-17 15:08:43,382003578,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl285: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.0268 %),[],[],0,[]
5531881,0,0,302626,BRUX0477,2024-06-17 15:08:42,972106110,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl286: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.5006 %),[],[],0,[]
5531880,0,0,302567,BRUX0477,2024-06-17 15:08:43,381582956,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl34: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9209 %),[],[],0,[]
5531879,0,0,302566,BRUX0477,2024-06-17 15:08:42,971697703,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl340: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.5431 %),[],[],0,[]
5531878,0,0,302446,BRUX0477,2024-06-17 15:08:42,970855176,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl45: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9268 %),[],[],0,[]
5531877,0,0,302387,BRUX0477,2024-06-17 15:08:43,380725092,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl503: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9832 %),[],[],0,[]
5531876,0,0,302386,BRUX0477,2024-06-17 15:08:42,970400136,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl504: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.1192 %),[],[],0,[]
5531875,0,0,302327,BRUX0477,2024-06-17 15:08:43,380596355,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl558: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.9457 %),[],[],0,[]
5531874,0,0,302326,BRUX0477,2024-06-17 15:08:42,958396849,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl559: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.3993 %),[],[],0,[]
5531873,0,0,302267,BRUX0477,2024-06-17 15:08:43,380443057,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl612: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.6681 %),[],[],0,[]
5531872,0,0,302266,BRUX0477,2024-06-17 15:08:42,958374897,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl613: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.6681 %),[],[],0,[]
